year,sex,age,value
2030,both,47,441.871637
2030,both,48,433.2420965
2030,both,49,438.8808371
2030,both,50,396.9757157
2030,both,51,420.4527882
2030,both,52,413.6217153
2030,both,53,397.9087384
2030,both,54,391.0044139
2030,both,55,374.1665128
2030,both,56,379.4485618
2030,both,57,393.8415863
2030,both,58,402.9263136
2030,both,59,402.7674319
2030,both,60,401.185903
2030,both,61,399.9886124
2030,both,62,392.3608269
2030,both,63,384.4104707
2030,both,64,380.5126174
2030,both,65,432.0678939
2030,both,66,412.3354681
2030,both,67,402.0591994
2030,both,68,386.9849259
2030,both,69,369.9819705
2030,both,70,397.2914989
2030,both,71,377.2956683
2030,both,72,358.6156184
2030,both,73,347.5348319
2030,both,74,338.3186353
2030,both,75,393.5624508
2030,both,76,276.3338557
2030,both,77,262.9609871
2030,both,78,253.3626629
2030,both,79,252.9952458
2030,both,80,247.6442067
2030,both,81,218.8803665
2030,both,82,197.0933176
2030,both,83,179.6451159
2030,both,84,164.3340685
2030,both,85,127.3008415
2030,both,86,114.3937475
2030,both,87,102.1689958
2030,both,88,85.24507652
2030,both,89,76.13788523
2030,both,90,58.73729597
2030,both,91,50.32410592
2030,both,92,42.37056427
2030,both,93,33.89082703
2030,both,94,27.57999508
2030,both,95,23.56135876
2030,both,96,17.53660739
2030,both,97,13.17194656
2030,both,98,9.337494674
2030,both,99,6.424665979
2030,both,100,11.86502247
2031,both,40,482.0392358
2031,both,41,474.8552738
2031,both,42,472.5304625
2031,both,43,453.0281252
2031,both,44,442.7104304
2031,both,45,456.8974132
2031,both,46,441.1423573
2031,both,47,445.7020406
2031,both,48,436.9976942
2031,both,49,442.6853147
2031,both,50,402.9385102
2031,both,51,426.7682213
2031,both,52,419.8345419
2031,both,53,403.8855474
2031,both,54,396.8775162
2031,both,55,375.1655088
2031,both,56,380.4616604
2031,both,57,394.8931133
2031,both,58,404.002096
2031,both,59,403.8427902
2031,both,60,398.5290026
2031,both,61,397.3396411
2031,both,62,389.7623716
2031,both,63,381.8646675
2031,both,64,377.9926282
2031,both,65,425.8526803
2031,both,66,406.4041016
2031,both,67,396.2756551
2031,both,68,381.4182221
2031,both,69,364.6598509
2031,both,70,398.6432325
2031,both,71,378.5793686
2031,both,72,359.8357623
2031,both,73,348.7172748
2031,both,74,339.4697213
2031,both,75,402.0133866
2031,both,76,282.267551
2031,both,77,268.6075279
2031,both,78,258.8030996
2031,both,79,258.427793
2031,both,80,254.4773116
2031,both,81,224.9198072
2031,both,82,202.5316008
2031,both,83,184.6019608
2031,both,84,168.8684444
2031,both,85,135.0113892
2031,both,86,121.322519
2031,both,87,108.3573202
2031,both,88,90.40832773
2031,both,89,80.74951846
2031,both,90,61.69788427
2031,both,91,52.8606367
2031,both,92,44.50620561
2031,both,93,35.5990566
2031,both,94,28.97013416
2031,both,95,24.28378459
2031,both,96,18.0743055
2031,both,97,13.57581777
2031,both,98,9.623795959
2031,both,99,6.621655664
2031,both,100,12.26250007
2032,both,40,484.5480519
2032,both,41,477.3267003
2032,both,42,474.9897893
2032,both,43,455.3859503
2032,both,44,445.0145562
2032,both,45,460.8580691
2032,both,46,444.9664391
2032,both,47,449.5656485
2032,both,48,440.7858476
2032,both,49,446.5227718
2032,both,50,408.9908692
2032,both,51,433.1785157
2032,both,52,426.1406886
2032,both,53,409.9521314
2032,both,54,402.8388356
2032,both,55,376.167172
2032,both,56,381.477464
2032,both,57,395.9474477
2032,both,58,405.0807507
2032,both,59,404.9210196
2032,both,60,395.8896978
2032,both,61,394.708213
2032,both,62,387.1811248
2032,both,63,379.3357242
2032,both,64,375.4893279
2032,both,65,419.7268714
2032,both,66,400.5580567
2032,both,67,390.575306
2032,both,68,375.9315943
2032,both,69,359.4142891
2032,both,70,399.9995653
2032,both,71,379.8674367
2032,both,72,361.0600575
2032,both,73,349.9037409
2032,both,74,340.6247237
2032,both,75,410.6457888
2032,both,76,288.3286601
2032,both,77,274.3753164
2032,both,78,264.3603584
2032,both,79,263.9769929
2032,both,80,261.4989586
2032,both,81,231.1258908
2032,both,82,208.1199394
2032,both,83,189.6955772
2032,both,84,173.5279348
2032,both,85,143.1889608
2032,both,86,128.6709627
2032,both,87,114.9204683
2032,both,88,95.88431445
2032,both,89,85.64047598
2032,both,90,64.80769774
2032,both,91,55.52501851
2032,both,92,46.74949157
2032,both,93,37.3933876
2032,both,94,30.43034166
2032,both,95,25.02836105
2032,both,96,18.62849022
2032,both,97,13.99207226
2032,both,98,9.918875662
2032,both,99,6.824685341
2032,both,100,12.67329314
2033,both,40,487.0699253
2033,both,41,479.8109895
2033,both,42,477.4619159
2033,both,43,457.756047
2033,both,44,447.330674
2033,both,45,464.8530584
2033,both,46,448.8236703
2033,both,47,453.4627484
2033,both,48,444.606839
2033,both,49,450.3934942
2033,both,50,415.1341379
2033,both,51,439.6850962
2033,both,52,432.5415571
2033,both,53,416.1098388
2033,both,54,408.8896974
2033,both,55,377.1715096
2033,both,56,382.4959796
2033,both,57,397.0045971
2033,both,58,406.1622854
2033,both,59,406.0021277
2033,both,60,393.267872
2033,both,61,392.0942118
2033,both,62,384.6169726
2033,both,63,376.8235291
2033,both,64,373.002606
2033,both,65,413.689181
2033,both,66,394.7961061
2033,both,67,384.9569553
2033,both,68,370.5238906
2033,both,69,354.2441836
2033,both,70,401.3605128
2033,both,71,381.1598872
2033,both,72,362.2885183
2033,both,73,351.0942437
2033,both,74,341.7836559
2033,both,75,419.4635538
2033,both,76,294.519919
2033,both,77,280.2669562
2033,both,78,270.0369478
2033,both,79,269.6453503
2033,both,80,268.7143497
2033,both,81,237.5032154
2033,both,82,213.8624738
2033,both,83,194.9297387
2033,both,84,178.3159919
2033,both,85,151.8618438
2033,both,86,136.4644978
2033,both,87,121.881143
2033,both,88,101.6919789
2033,both,89,90.82767633
2033,both,90,68.07425792
2033,both,91,58.32369552
2033,both,92,49.10584788
2033,both,93,39.27815985
2033,both,94,31.96414931
2033,both,95,25.79576732
2033,both,96,19.19966706
2033,both,97,14.42108972
2033,both,98,10.22300294
2033,both,99,7.033940206
2033,both,100,13.09784776
2034,both,40,489.604924
2034,both,41,482.3082085
2034,both,42,479.9469089
2034,both,43,460.1384791
2034,both,44,449.6588463
2034,both,45,468.8826785
2034,both,46,452.7143383
2034,both,47,457.3936306
2034,both,48,448.460953
2034,both,49,454.2977703
2034,both,50,421.3696819
2034,both,51,446.2894092
2034,both,52,439.0385701
2034,both,53,422.3600384
2034,both,54,415.0314465
2034,both,55,378.1785287
2034,both,56,383.5172147
2034,both,57,398.064569
2034,both,58,407.2467076
2034,both,59,407.0861224
2034,both,60,390.6634097
2034,both,61,389.4975222
2034,both,62,382.0698019
2034,both,63,374.3279713
2034,both,64,370.5323528
2034,both,65,407.7383416
2034,both,66,389.11704
2034,both,67,379.4194234
2034,both,68,365.1939757
2034,both,69,349.1484491
2034,both,70,402.7260907
2034,both,71,382.4567351
2034,both,72,363.5211588
2034,both,73,352.2887971
2034,both,74,342.9465312
2034,both,75,428.470662
2034,both,76,300.8441222
2034,both,77,286.2851067
2034,both,78,275.8354301
2034,both,79,275.4354238
2034,both,80,276.1288311
2034,both,81,244.0565057
2034,both,82,219.7634588
2034,both,83,200.3083235
2034,both,84,183.2361631
2034,both,85,161.0600389
2034,both,86,144.7300835
2034,both,87,129.2634222
2034,both,88,107.8514107
2034,both,89,96.32906279
2034,both,90,71.50546544
2034,both,91,61.26343675
2034,both,92,51.58097372
2034,both,93,41.25793197
2034,both,94,33.57526683
2034,both,95,26.58670339
2034,both,96,19.78835702
2034,both,97,14.86326149
2034,both,98,10.53645521
2034,both,99,7.249611132
2034,both,100,13.53662494
2035,both,40,492.1531164
2035,both,41,484.8184245
2035,both,42,482.4448353
2035,both,43,462.5333107
2035,both,44,451.9991358
2035,both,45,472.9472298
2035,both,46,456.6387329
2035,both,47,461.358588
2035,both,48,452.3484767
2035,both,49,458.235891
2035,both,50,427.6988872
2035,both,51,452.9929226
2035,both,52,445.6331719
2035,both,53,428.7041194
2035,both,54,421.265448
2035,both,55,379.1882365
2035,both,56,384.5411763
2035,both,57,399.127371
2035,both,58,408.3340252
2035,both,59,408.1730112
2035,both,60,388.0761957
2035,both,61,386.9180294
2035,both,62,379.5395
2035,both,63,371.8489407
2035,both,64,368.078459
2035,both,65,401.873104
2035,both,66,383.5196661
2035,both,67,373.961548
2035,both,68,359.9407305
2035,both,69,344.1260158
2035,both,70,404.0963149
2035,both,71,383.7579953
2035,both,72,364.7579932
2035,both,73,353.4874148
2035,both,74,344.113363
2035,both,75,437.6711791
2035,both,76,307.3041246
2035,both,77,292.4324844
2035,both,78,281.7584228
2035,both,79,281.3498272
2035,both,80,283.747896
2035,both,81,250.7906173
2035,both,82,225.8272662
2035,both,83,205.8353165
2035,both,84,188.2920937
2035,both,85,170.8153641
2035,both,86,153.4963115
2035,both,87,137.0928424
2035,both,88,114.3839161
2035,both,89,102.1636654
2035,both,90,75.10961917
2035,both,91,64.35135238
2035,both,92,54.18085553
2035,both,93,43.3374923
2035,both,94,35.26759094
2035,both,95,27.40189072
2035,both,96,20.39509708
2035,both,97,15.31899089
2035,both,98,10.85951838
2035,both,99,7.471894845
2035,both,100,13.99010112
2036,both,40,492.7633593
2036,both,41,485.4195727
2036,both,42,483.0430404
2036,both,43,463.1068266
2036,both,44,452.5595899
2036,both,45,475.5463332
2036,both,46,459.1482122
2036,both,47,463.8940055
2036,both,48,454.8343787
2036,both,49,460.7541476
2036,both,50,431.5720251
2036,both,51,457.0951172
2036,both,52,449.6687184
2036,both,53,432.5863605
2036,both,54,425.0803263
2036,both,55,385.0241847
2036,both,56,390.4595097
2036,both,57,405.2701952
2036,both,58,414.6185457
2036,both,59,414.4550536
2036,both,60,389.34992
2036,both,61,388.1879524
2036,both,62,380.7852056
2036,both,63,373.0694047
2036,both,64,369.2865477
2036,both,65,399.4413015
2036,both,66,381.1989235
2036,both,67,371.6986431
2036,both,68,357.762668
2036,both,69,342.0436508
2036,both,70,398.6155485
2036,both,71,378.553078
2036,both,72,359.8107732
2036,both,73,348.6930579
2036,both,74,339.4461466
2036,both,75,439.5569452
2036,both,76,308.6281864
2036,both,77,293.6924698
2036,both,78,282.9724175
2036,both,79,282.5620614
2036,both,80,290.1681279
2036,both,81,256.4651402
2036,both,82,230.9369549
2036,both,83,210.4926567
2036,both,84,192.5524915
2036,both,85,175.8590818
2036,both,86,158.0286443
2036,both,87,141.1408249
2036,both,88,117.7613652
2036,both,89,105.1802834
2036,both,90,79.88456835
2036,both,91,68.4423655
2036,both,92,57.62529892
2036,both,93,46.09258979
2036,both,94,37.50966001
2036,both,95,28.90428369
2036,both,96,21.51332103
2036,both,97,16.1589017
2036,both,98,11.45492489
2036,both,99,7.881564469
2036,both,100,14.50046058
2037,both,40,493.3743588
2037,both,41,486.0214663
2037,both,42,483.6419872
2037,both,43,463.6810537
2037,both,44,453.1207389
2037,both,45,478.1597201
2037,both,46,461.6714825
2037,both,47,466.4433566
2037,both,48,457.3339422
2037,both,49,463.2862434
2037,both,50,435.4802373
2037,both,51,461.2344602
2037,both,52,453.7408098
2037,both,53,436.5037582
2037,both,54,428.9297511
2037,both,55,390.949952
2037,both,56,396.46893
2037,both,57,411.5075614
2037,both,58,420.9997889
2037,both,59,420.8337806
2037,both,60,390.6278248
2037,both,61,389.4620435
2037,both,62,382.0349998
2037,both,63,374.2938744
2037,both,64,370.4986016
2037,both,65,397.0242144
2037,both,66,378.892224
2037,both,67,369.4494315
2037,both,68,355.5977853
2037,both,69,339.9738866
2037,both,70,393.2091178
2037,both,71,373.418755
2037,both,72,354.9306525
2037,both,73,343.963727
2037,both,74,334.8422317
2037,both,75,441.4508364
2037,both,76,309.9579532
2037,both,77,294.9578839
2037,both,78,284.1916428
2037,both,79,283.7795187
2037,both,80,296.7336275
2037,both,81,262.2680578
2037,both,82,236.1622582
2037,both,83,215.2553763
2037,both,84,196.9092873
2037,both,85,181.0517269
2037,both,86,162.6948046
2037,both,87,145.3083334
2037,both,88,121.2385412
2037,both,89,108.2859739
2037,both,90,84.96307572
2037,both,91,72.79345689
2037,both,92,61.28871616
2037,both,93,49.02283729
2037,both,94,39.89426431
2037,both,95,30.48904997
2037,both,96,22.69285504
2037,both,97,17.0448632
2037,both,98,12.08297639
2037,both,99,8.31369549
2037,both,100,15.02943798
2038,both,40,493.9861159
2038,both,41,486.6241062
2038,both,42,484.2416767
2038,both,43,464.2559927
2038,both,44,453.6825838
2038,both,45,480.7874691
2038,both,46,464.2086195
2038,both,47,469.0067177
2038,both,48,459.8472421
2038,both,49,465.8322544
2038,both,50,439.4238412
2038,both,51,465.4112882
2038,both,52,457.8497771
2038,both,53,440.4566309
2038,both,54,432.8140354
2038,both,55,396.9669205
2038,both,56,402.5708392
2038,both,57,417.8409246
2038,both,58,427.4792436
2038,both,59,427.3106803
2038,both,60,391.9099239
2038,both,61,390.7403163
2038,both,62,383.288896
2038,both,63,375.5223631
2038,both,64,371.7146336
2038,both,65,394.6217534
2038,both,66,376.5994828
2038,both,67,367.2138302
2038,both,68,353.4460027
2038,both,69,337.9166468
2038,both,70,387.8760147
2038,both,71,368.354069
2038,both,72,350.116721
2038,both,73,339.2985401
2038,both,74,330.3007599
2038,both,75,443.3528876
2038,both,76,311.2934494
2038,both,77,296.2287503
2038,both,78,285.4161213
2038,both,79,285.0022215
2038,both,80,303.4476815
2038,both,81,268.2022754
2038,both,82,241.505792
2038,both,83,220.1258598
2038,both,84,201.3646624
2038,both,85,186.3976969
2038,both,86,167.4987441
2038,both,87,149.5988972
2038,both,88,124.8183888
2038,both,89,111.4833671
2038,both,90,90.3644394
2038,both,91,77.42116052
2038,both,92,65.18502809
2038,both,93,52.13936963
2038,both,94,42.43046522
2038,both,95,32.16070594
2038,both,96,23.93706064
2038,both,97,17.97940027
2038,both,98,12.74546275
2038,both,99,8.769519424
2038,both,100,15.57771249
2039,both,40,494.5986316
2039,both,41,487.2274934
2039,both,42,484.8421098
2039,both,43,464.8316447
2039,both,44,454.2451253
2039,both,45,483.4296589
2039,both,46,466.7596995
2039,both,47,471.5841658
2039,both,48,462.3743539
2039,both,49,468.3922572
2039,both,50,443.4031575
2039,both,51,469.6259405
2039,both,52,461.9959542
2039,both,53,444.4452998
2039,both,54,436.7334949
2039,both,55,403.076494
2039,both,56,408.7666606
2039,both,57,424.2717624
2039,both,58,434.0584212
2039,both,59,433.8872636
2039,both,60,393.1962311
2039,both,61,392.0227847
2039,both,62,384.5469076
2039,both,63,376.7548838
2039,both,64,372.9346568
2039,both,65,392.2338301
2039,both,66,374.3206154
2039,both,67,364.9917569
2039,both,68,351.3072409
2039,both,69,335.8718558
2039,both,70,382.6152446
2039,both,71,363.3580754
2039,both,72,345.3680809
2039,both,73,334.6966272
2039,both,74,325.8208841
2039,both,75,445.2631341
2039,both,76,312.6346997
2039,both,77,297.5050923
2039,both,78,286.6458757
2039,both,79,286.2301925
2039,both,80,310.3136513
2039,both,81,274.2707638
2039,both,82,246.9702314
2039,both,83,225.1065454
2039,both,84,205.9208471
2039,both,85,191.901519
2039,both,86,172.444531
2039,both,87,154.0161498
